"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
317826.304892309,2,1,2,51,-1,-1,-1,-1,-1,-1,12776.5506973306,30901.6171102065,58233.5754654437,51991.5571821554,24444.8003983431,21277.4711471145,2594.53934962427,2360.02147413115,12688.1601978757,7612.91997682442,2708.43105070851,21052.8862389909,0
18806.3675314789,1,2,2,29,1,3,3,0,2,3,125207.409603231,125913.168224202,70034.9869774188,97758.5335409802,66272.4500280693,79591.8489633911,15546.6008478079,1381.88806010714,14177.1224786978,2082.01811144223,5836.77933519369,11707.9331006966,1
220370.038382648,1,2,1,39,-1,0,-1,-1,-1,-1,52568.4267104911,28808.5482943604,44189.5344619269,23733.1827800154,67534.2016650419,94706.516285093,2925.1724816156,1171.63875802371,1058.58957081704,3347.45615858283,135348.206993297,24769.9015213436,0
128191.715726479,2,2,2,21,-1,1,2,1,1,3,18876.5044064617,50921.5500911017,58439.606511979,43437.5792671027,27872.8754251312,54918.842520101,9145.43833769963,4184.91452107433,7855.07335193211,2361.43263146759,13831.1780460049,5163.25940878857,1
11221.8478815028,2,2,2,38,2,0,1,0,1,0,4976.289135345,13107.5547230617,15320.1857227336,27293.8160888973,21588.0112594226,51857.5949518313,168.175846168105,1590.87161525862,7738.46830464106,2609.3120592517,8002.11256542712,4171.54960250805,1
83715.2393405501,2,3,1,44,1,0,-1,0,0,0,5657.85678895551,93217.8907168781,65382.3632437506,135942.188674,22436.423005518,71146.8498503162,25206.7144018571,13656.1404576456,4262.02981073166,11632.3427815585,659.98969520007,9293.10215421137,0
63701.2164432627,2,2,3,31,2,1,1,-1,1,1,80864.3000838683,145980.96995916,144241.862157621,113064.324978544,63174.6577145129,53583.461412734,5329.48933443692,3085.50546180107,16388.9608828886,12761.2458912802,12846.8099238847,4623.44585575208,1
46567.9189964087,2,2,2,28,0,0,2,2,1,-1,30563.7337351934,12814.0510312938,64854.2608651172,63030.7741401511,129903.933196288,106822.109672979,5294.56291861778,2886.09321564313,18238.6582480358,7269.61019103204,340.155864505462,2138.62185795422,1
218091.411686001,1,2,2,44,0,3,1,0,1,0,100302.249738301,70290.236819767,69763.4112277289,68244.7191746964,49170.0712283719,23135.8226493472,3620.97865764994,5692.52841722475,1743.89349623705,4433.8289297832,5623.63932642598,17904.4098127046,1
480864.819483655,2,1,2,26,2,1,1,0,0,0,135084.819871267,62010.8626540824,124489.969213446,107776.640388185,64555.4058723068,24715.3657343532,1110.04182239019,25325.6219335725,20134.5496809273,20068.2611447657,13378.5480940959,15085.5919087193,0
374357.053932486,2,5,1,30,1,1,0,0,0,2,64720.0390347355,191088.784449196,47643.3798683607,51191.5545989656,28758.2801184716,6726.95402706195,3919.16218011391,4233.14587263,1102.85004789289,2767.38861274985,19223.7381726972,12578.5260055245,1
198474.776302451,1,2,1,21,-1,0,0,-1,1,-1,182316.370006683,125605.639374313,140269.274523931,235676.915805317,216072.062645692,166456.005769467,7712.41674178482,10541.2075082799,13560.5278126348,1787.1712667488,16318.5671125613,16829.4006567812,1
72137.0666024555,1,2,2,31,3,0,1,0,1,0,76908.1485711663,20434.9683111282,17899.7567751955,14457.5635477846,87367.3685098905,55177.7335689275,16970.7293400081,31044.5091983832,19571.3192614932,18233.1152300715,9160.56004412317,14754.0727836549,0
